code_plot;year;GS;CS;SLC;DB;SP;DW;IF;FD;RN;RW
1201;1994;312.86;93.04;89.71;1.33;0.21;0.00;NA;NA;NA;NA
1202;1994;459.62;135.56;87.46;1.51;0.19;0.00;NA;NA;NA;NA
1203;1994;328.84;96.86;70.01;1.45;0.00;0.00;NA;NA;NA;NA
1204;1994;329.32;97.00;87.02;1.31;0.00;0.00;NA;NA;NA;NA
1205;1994;380.42;112.05;85.96;1.36;0.00;0.00;NA;NA;NA;NA
1206;1994;337.35;99.37;85.01;1.47;0.00;0.00;NA;NA;NA;NA
1101;1995;149.75;44.11;60.05;1.38;0.00;0.00;NA;NA;NA;NA
1102;1995;40.67;11.98;100.41;1.24;0.00;0.00;NA;NA;NA;NA
1103;1995;41.16;12.12;76.52;1.18;0.00;0.00;NA;NA;NA;NA
1201;1999;321.10;95.44;88.14;1.33;0.20;0.00;0.13;15;NA;NA
1202;1999;497.89;146.94;86.66;1.64;0.28;0.00;0.41;15;NA;NA
1203;1999;361.30;106.42;70.40;1.47;0.00;0.00;0.09;15;NA;NA
1204;1999;359.80;105.98;86.58;1.39;0.00;0.00;0.37;10;NA;NA
1205;1999;433.33;127.64;87.36;1.42;0.00;0.00;0.12;15;NA;NA
1206;1999;375.88;110.72;82.41;1.47;0.00;0.00;0.09;15;NA;NA
1101;2000;170.46;50.21;57.23;1.53;0.00;0.00;NA;15;NA;NA
1102;2000;94.59;27.86;98.85;1.45;0.00;0.00;NA;15;NA;NA
1103;2000;58.40;17.20;73.95;1.28;0.00;0.00;NA;15;NA;NA
1103;2004;373.32;109.96;72.30;1.48;0.00;0.00;NA;15;NA;NA
1201;2004;355.31;105.57;87.83;1.38;0.20;0.00;NA;15;NA;NA
1202;2004;548.47;161.95;84.37;1.71;0.33;0.00;NA;10;NA;NA
1203;2004;372.73;109.79;68.90;1.48;0.00;0.00;NA;25;NA;NA
1204;2004;400.41;117.94;84.17;1.47;0.00;0.00;NA;10;NA;NA
1205;2004;477.82;140.74;84.69;1.51;0.00;0.00;NA;15;NA;NA
1206;2004;350.92;103.36;78.87;1.57;0.00;0.00;NA;10;NA;NA
1103;2009;419.69;123.62;75.18;1.51;0.00;0.00;NA;15;NA;NA
1201;2009;411.61;122.15;89.81;1.47;0.19;0.00;NA;15;NA;NA
1202;2009;613.82;181.71;86.63;1.94;0.91;0.00;NA;15;NA;NA
1203;2009;392.21;115.53;68.25;1.51;0.00;0.00;NA;15;NA;NA
1204;2009;458.31;135.00;83.96;1.56;0.00;0.00;NA;10;NA;NA
1205;2009;335.39;98.94;73.17;1.85;0.67;0.00;NA;15;NA;NA
1206;2009;395.77;116.57;79.87;1.62;0.00;0.00;NA;NA;NA;NA
1103;2014;492.19;145.22;78.34;1.90;0.84;0.00;NA;15;NA;NA
1201;2014;464.20;137.50;90.53;1.69;0.50;0.00;NA;15;NA;NA
1202;2014;715.49;212.81;87.41;1.99;1.03;0.00;NA;15;NA;NA
1203;2014;459.99;135.51;71.27;1.79;0.44;0.00;NA;15;NA;NA
1204;2014;404.67;119.25;83.85;1.82;0.65;0.00;NA;5;NA;NA
1205;2014;416.87;123.43;69.54;1.64;0.86;0.00;NA;20;NA;NA
1206;2014;469.12;138.78;76.66;1.77;1.18;0.00;NA;20;NA;NA
1202;2019;695.25;209.27;104.88;2.05;0.97;5.10;NA;25;NA;NA
1203;2019;462.34;136.18;68.38;1.74;0.31;0.00;NA;20;NA;NA
1204;2019;359.88;106.34;85.82;1.87;0.64;0.00;NA;25;NA;NA
1205;2019;441.43;132.60;73.63;1.72;0.79;0.00;NA;25;NA;NA
901;1995;299.60;88.25;89.86;1.34;0.00;0.00;NA;NA;NA;NA
901;1999;322.43;94.97;89.89;1.36;0.00;0.00;0.11;25;NA;NA
901;2004;270.83;79.77;84.86;1.35;0.00;0.00;NA;25;NA;NA
901;2009;283.10;83.39;83.10;1.39;0.00;1.00;2.70;20;NA;NA
901;2014;331.12;97.53;82.05;1.42;0.00;0.47;NA;15;NA;NA
905;2014;377.27;111.09;75.85;1.83;0.50;0.14;NA;20;NA;NA
901;2019;281.96;83.05;79.20;1.49;0.00;62.49;12.43;25;NA;NA
905;2019;396.94;116.89;86.88;1.96;0.73;0.00;NA;25;NA;NA
1501;1997;274.84;80.95;90.37;1.33;0.00;0.00;NA;10;NA;NA
1502;1997;283.34;83.46;104.35;1.30;0.00;0.00;NA;10;NA;NA
1501;2003;354.18;104.32;80.77;1.45;0.00;0.00;NA;20;NA;NA
1502;2004;338.94;99.84;98.06;1.49;0.00;0.00;NA;0;NA;NA
1501;2009;404.96;119.27;82.55;1.62;0.11;41.00;NA;25;NA;NA
1502;2009;427.76;126.00;104.47;1.57;0.00;34.56;NA;5;NA;NA
1501;2014;411.63;121.22;81.49;1.58;0.16;1.20;0.15;5;NA;NA
1501;2014;411.63;121.22;81.49;1.58;0.16;1.20;NA;5;NA;NA
1502;2014;444.29;130.86;99.56;1.63;0.00;1.60;0.20;5;NA;NA
1501;2019;454.58;134.15;75.05;1.88;1.34;5.20;0.00;15;NA;NA
1501;2019;454.58;134.15;75.05;1.88;1.34;5.20;NA;15;NA;NA
1502;2019;485.44;143.26;115.52;1.92;0.84;13.70;0.00;15;NA;NA
1502;2019;485.44;143.26;115.52;1.92;0.84;13.70;NA;15;NA;NA
1303;2003;337.11;99.29;85.86;1.42;0.00;0.00;NA;15;NA;NA
1303;2008;399.40;117.64;89.60;1.51;0.00;8.04;NA;20;NA;NA
1303;2010;352.24;103.75;87.81;1.46;0.00;1.85;NA;20;NA;NA
1303;2015;414.39;122.06;87.73;1.51;0.00;3.16;NA;10;NA;NA
707;1995;411.59;121.23;59.81;1.59;0.00;0.00;NA;15;NA;NA
707;2000;461.18;135.84;66.98;1.58;0.00;0.00;NA;15;NA;NA
1405;2000;368.32;108.49;76.87;1.58;0.00;0.00;NA;20;NA;NA
1405;2005;434.38;127.95;79.88;1.58;0.00;0.00;NA;15;NA;NA
1405;2009;482.62;142.16;74.43;1.69;0.00;0.00;NA;15;NA;NA
1405;2014;499.99;147.27;76.49;1.73;0.00;0.00;NA;20;NA;NA
1405;2019;499.99;147.27;76.49;1.73;0.00;0.00;NA;20;NA;NA
201;1995;284.45;84.76;42.78;2.09;0.48;0.00;NA;NA;NA;NA
